菜单全路径	页面URL	类型	配置来源	接口
我的工作台（专家） / 用户中心 / 我的服务关系	/expertMgt/index.html#/dynamicPage/professor/myservices	动态页	/obs/json/plateform/professor/myservices	/c/business/professor/professorInfo/pageList_services /c/business/ubm/dict/query
我的工作台（专家） / 用户中心 / 我的邀请	/expertMgt/index.html#/dynamicPage/invite/myselfReport	动态页	/obs/json/plateform/invite/myselfReport	/c/business/plateform/inviteService/selectPage_professor
我的工作台（企业端） / 专家|监标人管理 / 专家维护列表	/expertMgt/index.html#/dynamicPage/professorMgt/company	动态页	/obs/json/plateform/professorMgt/company	/c/business/professor/professorInfo/queryProfessorPageNew /c/business/ubm/dict/query
我的工作台（企业端） / 专家|监标人管理 / 外部专家邀请	/expertMgt/index.html#/dynamicPage/invite/professor	动态页	/obs/json/plateform/invite/professor	/c/business/plateform/inviteService/selectPage_professor /c/business/ubm/dict/query
我的工作台（企业端） / 国招平台信息录入 / 国招平台信息发布	/procurementScheme/index.html#/dynamicPage/source/cebpubserviceMgt	动态页	/obs/json/plateform/source/cebpubserviceMgt	/c/business/ubm/dict/query /e/business/source/cebpubservice/queryPageList
我的工作台（企业端） / 国招平台信息录入 / 国招平台信息查询	/procurementScheme/index.html#/dynamicPage/source/cebpubservice	动态页	/obs/json/plateform/source/cebpubservice	/c/business/ubm/dict/query /e/business/source/cebpubservice/queryPageListForReport
我的工作台（企业端） / 平台管理 / JSON管理	/platform/index.html#/dynPage/staticdataCategory/tree	动态页	/obs/json/plateform/staticdataCategory/tree	/c/business/plateform/staticdata/copy /c/business/plateform/staticdata/delete /c/business/plateform/staticdata/enable /c/business/plateform/staticdata/insert /c/business/plateform/staticdata/query /c/business/plateform/staticdata/selectPage /c/business/plateform/staticdata/unable /c/business/plateform/staticdata/update /c/business/plateform/staticdataCategory/addStaticdataCategory /c/business/plateform/staticdataCategory/copy /c/business/plateform/staticdataCategory/enable /c/business/plateform/staticdataCategory/getStaticdataCategoryDetail /c/business/plateform/staticdataCategory/getStaticdataCategoryTree /c/business/plateform/staticdataCategory/modifyStaticdataCategory /c/business/plateform/staticdataCategory/removeStaticdataCategory /c/business/plateform/staticdataCategory/unable
我的工作台（企业端） / 报表查询 / 业务公示及时性统计表	/procurementScheme/index.html#/reportForms/sourceNotice	报表页	路由参数拼接口名	/e/business/report/source/headList_sourceNotice /e/business/report/source/agghead_sourceNotice /e/business/report/source/aggregation_sourceNotice /e/business/report/source/download_sourceNotice
我的工作台（企业端） / 报表查询 / 业务数量及金额统计表	/procurementScheme/index.html#/reportForms/source	报表页	路由参数拼接口名	/e/business/report/source/headList_source /e/business/report/source/agghead_source /e/business/report/source/aggregation_source /e/business/report/source/download_source
我的工作台（企业端） / 报表查询 / 业务状态统计表	/procurementScheme/index.html#/reportForms/sourcePublish	报表页	路由参数拼接口名	/e/business/report/source/headList_sourcePublish /e/business/report/source/agghead_sourcePublish /e/business/report/source/aggregation_sourcePublish /e/business/report/source/download_sourcePublish
