路由	仓库	路由定义	组件文件
/	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:9	scm-vue-all-agreement/src/views/Home.vue
/agreementApproval/agreementApprovalList	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:116	scm-vue-all-agreement/src/views/agreementApproval/agreementApprovalList/list.vue
/agreementApproval/approval/:protocolId?	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:128	scm-vue-all-agreement/src/views/agreementApproval/approvalDetail/index.vue
/agreementApproval/approvalDetail/:protocolId?	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:134	scm-vue-all-agreement/src/views/agreementApproval/approvalView/index.vue
/agreementApproval/distributorApprovalList	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:122	scm-vue-all-agreement/src/views/agreementApproval/distributorApprovalList/list.vue
/listingCompile/compileAgreementListing	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:53	scm-vue-all-agreement/src/views/agreementMgmt/listingCompile/agreementListing/list.vue
/listingCompile/compileAgreementListing/compile/:protocolId	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:59	scm-vue-all-agreement/src/views/agreementMgmt/listingCompile/compileAgreement/compile.vue
/listingCompile/compileAgreementListing/viewDetail/:protocolId	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:65	scm-vue-all-agreement/src/views/agreementMgmt/listingCompile/viewDetail/detail.vue
/listingCreate/agreementList	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:16	scm-vue-all-agreement/src/views/agreementMgmt/listingCreate/agreementList/index.vue
/listingCreate/compilePage/:id?	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:22	scm-vue-all-agreement/src/views/agreementMgmt/listingCreate/compilePage/compile.vue
/listingCreate/materialConfirm	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:28	scm-vue-all-agreement/src/views/agreementMgmt/listingCreate/materialConfirm/materialLists.vue
/listingCreate/materialConfirm/:protocolId?	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:34	scm-vue-all-agreement/src/views/agreementMgmt/listingCreate/compilePage/materialConfirm.vue
/listingCreate/materialConfirm/costAgt/:protocolId	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:40	scm-vue-all-agreement/src/views/agreementMgmt/listingCreate/incMaterialDistribution/costAgt.vue
/listingCreate/materialConfirm/countAgt/:protocolId?	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:46	scm-vue-all-agreement/src/views/agreementMgmt/listingCreate/incMaterialDistribution/countAgt.vue
/listingMaint/DTAgreementMaint	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:79	scm-vue-all-agreement/src/views/agreementMgmt/listingMaint/DTAgreementMaint/list.vue
/listingMaint/agreementInfo/:protocolId	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:109	scm-vue-all-agreement/src/views/agreementMgmt/listingMaint/agreementInfo/detail.vue
/listingMaint/agreementMaint	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:73	scm-vue-all-agreement/src/views/agreementMgmt/listingMaint/agreementMaint/list.vue
/listingMaint/editAgreement/:protocolId	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:85	scm-vue-all-agreement/src/views/agreementMgmt/listingMaint/editAgreement/edit.vue
/listingMaint/materialAlteration/:protocolId	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:91	scm-vue-all-agreement/src/views/agreementMgmt/listingMaint/materialAlteration/alterationInfo.vue
/listingMaint/materialPricing/:protocolId	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:97	scm-vue-all-agreement/src/views/agreementMgmt/listingMaint/materialPricing/pricingInfo.vue
/listingMaint/postpone/:protocolId	scm-vue-all-agreement	scm-vue-all-agreement/src/router/index.js:103	scm-vue-all-agreement/src/views/agreementMgmt/listingMaint/postpone/index.vue
/	scm-vue-all-app	scm-vue-all-app/src/router/index.js:11	scm-vue-all-app/src/views/home/index.vue
/approveMgt/enrollManage	scm-vue-all-app	scm-vue-all-app/src/router/index.js:106	scm-vue-all-app/src/views/approveMgt/enrollManage/index.vue
/approveMgt/enrollManage/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:116	scm-vue-all-app/src/views/approveMgt/enrollManage/detail.vue
/approveMgt/extensionApproval	scm-vue-all-app	scm-vue-all-app/src/router/index.js:96	scm-vue-all-app/src/views/approveMgt/extensionApproval/index.vue
/approveMgt/extensionApproval	scm-vue-all-app	scm-vue-all-app/src/router/index.js:126	scm-vue-all-app/src/views/approveMgt/extensionApproval/index.vue
/approveMgt/extensionApprovalDetail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:136	scm-vue-all-app/src/views/approveMgt/extensionApproval/detail.vue
/approveMgt/purchaseSchemeApproval	scm-vue-all-app	scm-vue-all-app/src/router/index.js:76	scm-vue-all-app/src/views/approveMgt/purchaseSchemeApproval.vue
/approveMgt/purchaseSchemeApprovalDetail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:86	scm-vue-all-app/src/views/approveMgt/purchaseSchemeApprovalDetail.vue
/dynamicPage/:id	scm-vue-all-app	scm-vue-all-app/src/router/index.js:181	scm-vue-all-app/src/views/dynamicPage/index.vue
/dynamicPage/applyClose/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:221	scm-vue-all-app/src/views/approveMgt/noticeDetail.vue
/dynamicPage/black/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:283	scm-vue-all-app/src/views/enterprise/blackDetail.vue
/dynamicPage/calibrationScheme/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:188	scm-vue-all-app/src/views/approveMgt/calibrationSchemeDetail.vue
/dynamicPage/changeBasic/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:256	scm-vue-all-app/src/views/enterprise/changeBasicDetail.vue
/dynamicPage/changeBasic/diffInfoListDetail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:265	scm-vue-all-app/src/views/enterprise/changeBasicDiffInfoListDetail.vue
/dynamicPage/changeProduct/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:274	scm-vue-all-app/src/views/enterprise/changeProductDetail.vue
/dynamicPage/clarifyNotice/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:212	scm-vue-all-app/src/views/approveMgt/clarifyNoticeDetai.vue
/dynamicPage/expertExtraction/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:204	scm-vue-all-app/src/views/approveMgt/expertExtractionDetail.vue
/dynamicPage/increased/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:238	scm-vue-all-app/src/views/dynamicPage/increasedDetail.vue
/dynamicPage/supplierAccess/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:247	scm-vue-all-app/src/views/enterprise/suppeNetworkDetail.vue
/dynamicPage/supplierFreeze/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:292	scm-vue-all-app/src/views/enterprise/supplierFreezeDetail.vue
/dynamicPage/supplierShort/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:196	scm-vue-all-app/src/views/approveMgt/supplierShortDetail.vue
/dynamicPage/supplierThaw/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:301	scm-vue-all-app/src/views/enterprise/supplierThawDetail.vue
/forcePassword	scm-vue-all-app	scm-vue-all-app/src/router/index.js:49	scm-vue-all-app/src/views/workbench/forcePassword.vue
/home/business	scm-vue-all-app	scm-vue-all-app/src/router/index.js:29	scm-vue-all-app/src/views/home/business.vue
/home/home	scm-vue-all-app	scm-vue-all-app/src/router/index.js:20	scm-vue-all-app/src/views/home/home.vue
/login	scm-vue-all-app	scm-vue-all-app/src/router/index.js:40	scm-vue-all-app/src/views/Login.vue
/page/previewPdf	scm-vue-all-app	scm-vue-all-app/src/router/index.js:337	scm-vue-all-app/src/components/pdf-view.vue
/purchasePlan/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:172	scm-vue-all-app/src/views/allPlan/purchasePlan/detail.vue
/purchasePlan/purchaseIndex	scm-vue-all-app	scm-vue-all-app/src/router/index.js:164	scm-vue-all-app/src/views/allPlan/purchasePlan/index.vue
/search	scm-vue-all-app	scm-vue-all-app/src/router/index.js:67	scm-vue-all-app/src/views/searching.vue
/supplierBlackout/detail	scm-vue-all-app	scm-vue-all-app/src/router/index.js:155	scm-vue-all-app/src/views/supplierBlackout/approvalDetail.vue
/supplierBlackout/list	scm-vue-all-app	scm-vue-all-app/src/router/index.js:145	scm-vue-all-app/src/views/supplierBlackout/approvalList.vue
