菜单全路径	页面URL	上下文	路由	仓库	路由定义	组件文件	备注
我的工作台（专家） / 专家评审 / 评审响应	/bidEvaluationt/index.html#/bidEvaluationt/taskList	bidEvaluationt	/bidEvaluationt/taskList	scm-vue-all-bidevaluation	scm-vue-all-bidevaluation/src/router/routers.js:93	scm-vue-all-bidevaluation/src/views/Task/index.vue	
我的工作台（专家） / 专家评审 / 项目评审	/bidEvaluationt/index.html#/bidEvaluationt/evaluatedList	bidEvaluationt	/bidEvaluationt/evaluatedList	scm-vue-all-bidevaluation	scm-vue-all-bidevaluation/src/router/routers.js:20	scm-vue-all-bidevaluation/src/views/evaluatedList/index.vue	
我的工作台（专家） / 工作台	/workbench/index.html#/	workbench	/	scm-vue-all-workbench			
我的工作台（专家） / 用户中心 / 1	/ismp/index.html#/page	ismp	/page	scm-vue-all-ismp			本地前端仓没有这条路由：仓没克隆，或当前分支不含该页面
我的工作台（专家） / 用户中心 / 2	/ismp/index.html#/page1	ismp	/page1	scm-vue-all-ismp	scm-vue-all-ismp/src/router/index.js:38	scm-vue-all-ismp/src/views/page1.vue	
我的工作台（专家） / 用户中心 / 3	/ismp/index.html#/page2	ismp	/page2	scm-vue-all-ismp	scm-vue-all-ismp/src/router/index.js:49		
我的工作台（专家） / 用户中心 / 专家档案维护	/bidEvaluationt/index.html#/expertArchivesMgt	bidEvaluationt	/expertArchivesMgt	scm-vue-all-bidevaluation	scm-vue-all-bidevaluation/src/router/routers.js:103	scm-vue-all-bidevaluation/src/views/expertArchivesMgt/index.vue	
我的工作台（专家） / 用户中心 / 我的服务关系	/expertMgt/index.html#/dynamicPage/professor/myservices	expertMgt	/dynamicPage/professor/myservices	scm-vue-all/scm-vue-expertMgt			本地前端仓没有这条路由：仓没克隆，或当前分支不含该页面；仓库是按名字猜的
我的工作台（专家） / 用户中心 / 我的邀请	/expertMgt/index.html#/dynamicPage/invite/myselfReport	expertMgt	/dynamicPage/invite/myselfReport	scm-vue-all/scm-vue-expertMgt			本地前端仓没有这条路由：仓没克隆，或当前分支不含该页面；仓库是按名字猜的
我的工作台（企业端） / 专家|监标人管理 / 专家抽取	/expertMgt/index.html#/ExpertMgt/ExpertExtraction	expertMgt	/ExpertMgt/ExpertExtraction	scm-vue-all/scm-vue-expertMgt			本地前端仓没有这条路由：仓没克隆，或当前分支不含该页面；仓库是按名字猜的
我的工作台（企业端） / 专家|监标人管理 / 专家查询列表	/expertMgt/index.html#/dynamicMultipleTabs/professorMgt/queryDicts	expertMgt	/dynamicMultipleTabs/professorMgt/queryDicts	scm-vue-all/scm-vue-expertMgt			本地前端仓没有这条路由：仓没克隆，或当前分支不含该页面；仓库是按名字猜的
我的工作台（企业端） / 专家|监标人管理 / 专家维护列表	/expertMgt/index.html#/dynamicPage/professorMgt/company	expertMgt	/dynamicPage/professorMgt/company	scm-vue-all/scm-vue-expertMgt			本地前端仓没有这条路由：仓没克隆，或当前分支不含该页面；仓库是按名字猜的
我的工作台（企业端） / 专家|监标人管理 / 外部专家邀请	/expertMgt/index.html#/dynamicPage/invite/professor	expertMgt	/dynamicPage/invite/professor	scm-vue-all/scm-vue-expertMgt			本地前端仓没有这条路由：仓没克隆，或当前分支不含该页面；仓库是按名字猜的
我的工作台（企业端） / 专家|监标人管理 / 监标人列表	/expertMgt/index.html#/BidSup/insert	expertMgt	/BidSup/insert	scm-vue-all/scm-vue-expertMgt			本地前端仓没有这条路由：仓没克隆，或当前分支不含该页面；仓库是按名字猜的
我的工作台（企业端） / 专家|监标人管理 / 监标任务	/procurementScheme/index.html#/bidSup/task	procurementScheme	/bidSup/task	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:551	scm-vue-all-procurementscheme/src/views/bidSup/index.vue	
我的工作台（企业端） / 专家|监标人管理 / 设置监标人	/expertMgt/index.html#/setBidSup/list	expertMgt	/setBidSup/list	scm-vue-all/scm-vue-expertMgt			本地前端仓没有这条路由：仓没克隆，或当前分支不含该页面；仓库是按名字猜的
我的工作台（企业端） / 专家评审 / 评审模版	/procurementScheme/index.html#/reviewTemplate	procurementScheme	/reviewTemplate	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:529	scm-vue-all-procurementscheme/src/views/reviewTemplate/index.vue	
我的工作台（企业端） / 业务预警 / 业务预警列表	/enterprise/index.html#/supplierWarn	enterprise	/supplierWarn	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:952	scm-vue-all-emp/src/views/warningMgt/supplierWarn/index.vue	
我的工作台（企业端） / 企业中心 / 1	/ismp/index.html#/	ismp	/	scm-vue-all-ismp			
我的工作台（企业端） / 企业中心 / 招标代理机构维护	/enterprise/index.html#/biddingAgency	enterprise	/biddingAgency	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:935	scm-vue-all-emp/src/views/biddingAgency/index.vue	
我的工作台（企业端） / 企业中心 / 招采监管信息维护	/configMgt/index.html#/winningDepartmentConfig/winningDepartmentList	configMgt	/winningDepartmentConfig/winningDepartmentList	scm-vue-all-configmgt	scm-vue-all-configmgt/src/router/index.js:60	scm-vue-all-configmgt/src/views/winningDepartmentConfig/winningDepartmentList/list.vue	
我的工作台（企业端） / 企业中心 / 收货地址管理	/configMgt/index.html#/buyerCenter/receivingAddress	configMgt	/buyerCenter/receivingAddress	scm-vue-all-configmgt	scm-vue-all-configmgt/src/router/index.js:98	scm-vue-all-configmgt/src/views/ReceivingAddress/index.vue	
我的工作台（企业端） / 企业中心 / 采购组配置	/mdm/index.html#/mdm/purchaseGroupConfig	mdm	/mdm/purchaseGroupConfig	scm-vue-all-mdm	scm-vue-all-mdm/src/router/index.js:85	scm-vue-all-mdm/src/views/purchaseGroupConfig/index.vue	
我的工作台（企业端） / 企业中心 / 银行收款信息维护	/configMgt/index.html#/bankCollectionMaintenance/bankCollectionMaintenanceList	configMgt	/bankCollectionMaintenance/bankCollectionMaintenanceList	scm-vue-all-configmgt	scm-vue-all-configmgt/src/router/index.js:86	scm-vue-all-configmgt/src/views/bankCollectionMaintenance/list.vue	
我的工作台（企业端） / 供应商管理 / 供应商信息管理	/ubm/index.html#/supplierInfoMan	ubm	/supplierInfoMan	scm-vue-all-ubm	scm-vue-all-ubm/src/router/index.js:185		
我的工作台（企业端） / 供应商管理 / 供应商冻结列表查询	/enterprise/index.html#/supplierFreeze/list	enterprise	/supplierFreeze/list	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:735	scm-vue-all-emp/src/views/supplierFreeze/freezeList/list.vue	
我的工作台（企业端） / 供应商管理 / 供应商冻结申请	/enterprise/index.html#/supplierFreeze	enterprise	/supplierFreeze	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:721	scm-vue-all-emp/src/views/supplierFreeze/freeze/index.vue	
我的工作台（企业端） / 供应商管理 / 供应商列表查询	/enterprise/index.html#/supplierManger/mangerList	enterprise	/supplierManger/mangerList	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:16	scm-vue-all-emp/src/views/supplierManger/MangerList.vue	
我的工作台（企业端） / 供应商管理 / 供应商拉黑申请	/enterprise/index.html#/supplierBlackout	enterprise	/supplierBlackout	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:647	scm-vue-all-emp/src/views/supplierBlackout/index.vue	
我的工作台（企业端） / 供应商管理 / 供应商整改反馈查看	/enterprise/index.html#/supplierFreeze/rectification	enterprise	/supplierFreeze/rectification	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:767	scm-vue-all-emp/src/views/supplierFreeze/rectification/index.vue	
我的工作台（企业端） / 供应商管理 / 供应商等级查看	/enterprise/index.html#/evaluationLevel	enterprise	/evaluationLevel	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:882	scm-vue-all-emp/src/views/supplierEvaluateMgt/evaluationLevel/index.vue	
我的工作台（企业端） / 供应商管理 / 供应商评价模板	/enterprise/index.html#/evaluateTemplate	enterprise	/evaluateTemplate	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:804	scm-vue-all-emp/src/views/supplierEvaluateMgt/evaluateTemplate/index.vue	
我的工作台（企业端） / 供应商管理 / 供应商评价等级配置	/enterprise/index.html#/evaluationLevel/add	enterprise	/evaluationLevel/add	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:875	scm-vue-all-emp/src/views/supplierEvaluateMgt/evaluationLevel/add.vue	
我的工作台（企业端） / 供应商管理 / 供应商黑名单操作日志	/enterprise/index.html#/supplierBlackout/removeBlackLog	enterprise	/supplierBlackout/removeBlackLog	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:928	scm-vue-all-emp/src/views/supplierBlackout/removeBlackLog/index.vue	
我的工作台（企业端） / 供应商管理 / 在线评分	/enterprise/index.html#/supplierScore	enterprise	/supplierScore	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:848	scm-vue-all-emp/src/views/supplierEvaluateMgt/supplierScore/index.vue	
我的工作台（企业端） / 供应商管理 / 评价任务	/enterprise/index.html#/supplierEvaluateMgt	enterprise	/supplierEvaluateMgt	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:821	scm-vue-all-emp/src/views/supplierEvaluateMgt/supplierEvaluate/index.vue	
我的工作台（企业端） / 供应商管理 / 黑名单列表查询	/enterprise/index.html#/supplierBlackout/blackList	enterprise	/supplierBlackout/blackList	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:668	scm-vue-all-emp/src/views/supplierBlackout/blackList/index.vue	
我的工作台（企业端） / 供应商管理 / 黑名单解除申请	/enterprise/index.html#/supplierBlackout/removeBlackList	enterprise	/supplierBlackout/removeBlackList	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:896	scm-vue-all-emp/src/views/supplierBlackout/removeBlackList/index.vue	
我的工作台（企业端） / 合同协议 / 合同协议管理	/contractAgreementMgt/index.html#/contractMaintenance	contractAgreementMgt	/contractMaintenance	scm-vue-all-contractagreementmgt	scm-vue-all-contractagreementmgt/src/router/index.js:63	scm-vue-all-contractagreementmgt/src/views/contractMaintenance/index.vue	
我的工作台（企业端） / 合同协议 / 框架合同录入	/contractAgreementMgt/index.html#/contractEntry	contractAgreementMgt	/contractEntry	scm-vue-all-contractagreementmgt	scm-vue-all-contractagreementmgt/src/router/index.js:13	scm-vue-all-contractagreementmgt/src/views/contractEntry/index.vue	
我的工作台（企业端） / 合同推送 / 合同推送OA	/procurementScheme/index.html#/contractPush	procurementScheme	/contractPush	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:438	scm-vue-all-procurementscheme/src/views/contractPush/index.vue	
我的工作台（企业端） / 合同推送 / 合同推送商城	/productMgt/index.html#/contractPushMall	productMgt	/contractPushMall	scm-vue-all-productmgt	scm-vue-all-productmgt/src/router/index.js:286	scm-vue-all-productmgt/src/views/contractPushMall/index.vue	
我的工作台（企业端） / 合同推送 / 合同推送撤销	/procurementScheme/index.html#/contractPushDelete	procurementScheme	/contractPushDelete	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:452	scm-vue-all-procurementscheme/src/views/contractPushDelete/index.vue	
我的工作台（企业端） / 国招平台信息录入 / 国招平台信息发布	/procurementScheme/index.html#/dynamicPage/source/cebpubserviceMgt	procurementScheme	/dynamicPage/:module/:type	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:650	scm-vue-all-procurementscheme/src/views/dynamicPage/index.vue	动态页(壳子路由,页面内容由后端JSON配置决定)
我的工作台（企业端） / 国招平台信息录入 / 国招平台信息查询	/procurementScheme/index.html#/dynamicPage/source/cebpubservice	procurementScheme	/dynamicPage/:module/:type	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:650	scm-vue-all-procurementscheme/src/views/dynamicPage/index.vue	动态页(壳子路由,页面内容由后端JSON配置决定)
我的工作台（企业端） / 审批待办 / 专家抽取审批	/procurementScheme/index.html#/approveMgt/expertExtraction	procurementScheme	/approveMgt/expertExtraction	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:408	scm-vue-all-procurementscheme/src/views/approveMgt/expertExtraction/list.vue	
我的工作台（企业端） / 审批待办 / 供应商产品目录变更审批	/enterprise/index.html#/SupplierAccess/changeProduct	enterprise	/SupplierAccess/changeProduct	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:89	scm-vue-all-emp/src/views/SupplierAccess/changeProduct/list.vue	
我的工作台（企业端） / 审批待办 / 供应商入围审批	/procurementScheme/index.html#/approveMgt/SupplierShortlistReview	procurementScheme	/approveMgt/SupplierShortlistReview	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:374	scm-vue-all-procurementscheme/src/views/approveMgt/SupplierShortlistReview/index.vue	
我的工作台（企业端） / 审批待办 / 供应商入网审批	/enterprise/index.html#/SupplierAccess/networkExamine	enterprise	/SupplierAccess/networkExamine	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:71	scm-vue-all-emp/src/views/SupplierAccess/networkExamine/NetworkExamine.vue	
我的工作台（企业端） / 审批待办 / 供应商冻结审批	/enterprise/index.html#/supplierFreeze/approve	enterprise	/supplierFreeze/approve	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:750	scm-vue-all-emp/src/views/supplierFreeze/freezeApprove/index.vue	
我的工作台（企业端） / 审批待办 / 供应商基本信息变更审批	/enterprise/index.html#/SupplierAccess/changeBasicList	enterprise	/SupplierAccess/changeBasicList	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:108	scm-vue-all-emp/src/views/SupplierAccess/changeBasic/list.vue	
我的工作台（企业端） / 审批待办 / 供应商拉黑审批	/enterprise/index.html#/supplierBlackout/approve	enterprise	/supplierBlackout/approve	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:689	scm-vue-all-emp/src/views/supplierBlackout/approve/index.vue	
我的工作台（企业端） / 审批待办 / 供应商整改反馈审批	/enterprise/index.html#/supplierThaw	enterprise	/supplierThaw	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:787	scm-vue-all-emp/src/views/supplierFreeze/supplierThaw/index.vue	
我的工作台（企业端） / 审批待办 / 供应商自动拉黑审批	/enterprise/index.html#/supplierBlackout/tempApprove	enterprise	/supplierBlackout/tempApprove	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:705	scm-vue-all-emp/src/views/supplierBlackout/tempApprove/index.vue	
我的工作台（企业端） / 审批待办 / 供应商解除拉黑审批	/enterprise/index.html#/supplierBlackout/removeApprove	enterprise	/supplierBlackout/removeApprove	scm-vue-all-emp	scm-vue-all-emp/src/router/index.js:910	scm-vue-all-emp/src/views/supplierBlackout/removeApprove/index.vue	
我的工作台（企业端） / 审批待办 / 保证金/标书费审批	/procurementScheme/index.html#/dynamicMultipleTabs/source/costpayqudicts	procurementScheme	/dynamicMultipleTabs/:module/:type	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:644	scm-vue-all-procurementscheme/src/views/dynamicMultipleTabs/index.vue	动态页(壳子路由,页面内容由后端JSON配置决定)
我的工作台（企业端） / 审批待办 / 保证金审批	/procurementScheme/index.html#/approveMgt/enrollManage	procurementScheme	/approveMgt/enrollManage	scm-vue-all-app	scm-vue-all-app/src/router/index.js:106	scm-vue-all-app/src/views/approveMgt/enrollManage/index.vue	
我的工作台（企业端） / 审批待办 / 合同协议审批	/contractAgreementMgt/index.html#/contractAgreementApproval	contractAgreementMgt	/contractAgreementApproval	scm-vue-all-contractagreementmgt	scm-vue-all-contractagreementmgt/src/router/index.js:35	scm-vue-all-contractagreementmgt/src/views/contractAgreementApproval/index.vue	
我的工作台（企业端） / 审批待办 / 定标方案审批	/procurementScheme/index.html#/approveMgt/calibrationScheme	procurementScheme	/approveMgt/calibrationScheme	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:394	scm-vue-all-procurementscheme/src/views/approveMgt/calibrationScheme/index.vue	
我的工作台（企业端） / 审批待办 / 延期公告审批	/procurementScheme/index.html#/approveMgt/extensionApproval	procurementScheme	/approveMgt/extensionApproval	scm-vue-all-app	scm-vue-all-app/src/router/index.js:96	scm-vue-all-app/src/views/approveMgt/extensionApproval/index.vue	
我的工作台（企业端） / 审批待办 / 标书费审批	/procurementScheme/index.html#/approveMgt/responseManage	procurementScheme	/approveMgt/responseManage	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:283	scm-vue-all-procurementscheme/src/views/approveMgt/responseManage/responseManage.vue	
我的工作台（企业端） / 审批待办 / 澄清公告审批	/procurementScheme/index.html#/approveMgt/clarifyNotice	procurementScheme	/approveMgt/clarifyNotice	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:360	scm-vue-all-procurementscheme/src/views/approveMgt/clarifyNotice/index.vue	
我的工作台（企业端） / 审批待办 / 终止公告审批	/procurementScheme/index.html#/approveMgt/applyCloseApproval	procurementScheme	/approveMgt/applyCloseApproval	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:335	scm-vue-all-procurementscheme/src/views/approveMgt/applyTermination/index.vue	
我的工作台（企业端） / 审批待办 / 采购方案审批	/procurementScheme/index.html#/approveMgt/purchaseSchemeApproval	procurementScheme	/approveMgt/purchaseSchemeApproval	scm-vue-all-app	scm-vue-all-app/src/router/index.js:76	scm-vue-all-app/src/views/approveMgt/purchaseSchemeApproval.vue	
我的工作台（企业端） / 审批待办 / 采购计划审批	/planMgt/index.html#/purchasePlan/purchaseApproveIndex	planMgt	/purchasePlan/purchaseApproveIndex	scm-vue-all-plan	scm-vue-all-plan/src/router/index.js:90	scm-vue-all-plan/src/views/purchaseApprove/index.vue	
我的工作台（企业端） / 审批待办 / 非平台采购业务审核	/procurementScheme/index.html#/approveMgt/increasedListApprove	procurementScheme	/approveMgt/increasedListApprove	scm-vue-all-procurementscheme	scm-vue-all-procurementscheme/src/router/index.js:520	scm-vue-all-procurementscheme/src/views/supplier/approve/index.vue	
我的工作台（企业端） / 平台管理 / JSON管理	/platform/index.html#/dynPage/staticdataCategory/tree	platform	/dynPage/staticdataCategory/tree	scm-vue-all-platform			本地前端仓没有这条路由：仓没克隆，或当前分支不含该页面
我的工作台（企业端） / 平台管理 / MQ日志查询	/platform/index.html#/mqLog/list	platform	/mqLog/list	scm-vue-all-platform	scm-vue-all-platform/src/router/index.js:184	scm-vue-all-platform/src/views/mqLog/index.vue	
我的工作台（企业端） / 平台管理 / MQ配置管理	/platform/index.html#/mqConfig/list	platform	/mqConfig/list	scm-vue-all-platform	scm-vue-all-platform/src/router/index.js:200	scm-vue-all-platform/src/views/mqConfig/index.vue	
我的工作台（企业端） / 平台管理 / 内容发布管理	/platform/index.html#/cms/list	platform	/cms/list	scm-vue-all-platform	scm-vue-all-platform/src/router/index.js:15	scm-vue-all-platform/src/views/cms/index.vue	
我的工作台（企业端） / 平台管理 / 图片管理	/platform/index.html#/imgs/list	platform	/imgs/list	scm-vue-all-platform	scm-vue-all-platform/src/router/index.js:38	scm-vue-all-platform/src/views/imgsMgt/index.vue	
我的工作台（企业端） / 平台管理 / 导出模板管理	/platform/index.html#/xlsMsg/list	platform	/xlsMsg/list	scm-vue-all-platform	scm-vue-all-platform/src/router/index.js:146	scm-vue-all-platform/src/views/xlsMgt/index.vue	
我的工作台（企业端） / 平台管理 / 操作日志查询	/platform/index.html#/actionLog/list	platform	/actionLog/list	scm-vue-all-platform	scm-vue-all-platform/src/router/index.js:177	scm-vue-all-platform/src/views/actionLog/index.vue	
我的工作台（企业端） / 平台管理 / 日历设置	/platform/index.html#/calendar	platform	/calendar	scm-vue-all-platform	scm-vue-all-platform/src/router/index.js:224	scm-vue-all-platform/src/views/calendar/Calendar.vue	
