D01-回Bean-Date|java.util.Date/1780000000000
D02-日期字符串|java.util.Date
D03-日期ISO|java.util.Date
D04-日期时间戳|java.util.Date
D05-空串给Date|null
D06-空串给int|0
D07-null给int|0
D08-字符串给int|7
D09-小数给int|7
D10-未知字段|5
D11-枚举大小写|RED
D12-枚举序号|RED
D13-alias回填|X
D14-BigDecimal|12.3400
D15-大long不丢精度|9007199254740993
D16-布尔0/1|true
D17-布尔字符串|true
D18-parse裸对象类型|com.alibaba.fastjson.JSONObject
D19-parse数字类型|java.lang.Integer
D20-parse大数类型|java.lang.Long
D21-parse小数类型|java.math.BigDecimal
D22-parse字符串日期类型|java.lang.String
D23-JSONObject有序?|[a, z, m]
D24-new JSONObject有序?|[a, z, m]
D25-getString非串|1
D26-getDate从串|java.util.Date
D27-getDate从数|java.util.Date
D28-getInteger从串|5
D29-getBigDecimal|12.3400
D30-getBooleanValue空|false
D31-非法JSON|com.alibaba.fastjson.JSONException
D32-单引号JSON|1
D33-尾逗号|1
D34-parseArray泛型|2/Wide$B
D35-TypeReference-List|Wide$B
D36-TypeReference-MapBean|Wide$B
D37-JSONArray元素类型|com.alibaba.fastjson.JSONObject
D38-toJavaObject-List|Wide$B
D39-JSONObject.getObject|Wide$B
D40-嵌套getJSONObject|com.alibaba.fastjson.JSONObject
S01-bean全量|{"active":true,"age":3,"alias":"AV","big":1E+10,"bin":"AQID","color":"RED","d":1780000000000,"flag":false,"fmt":"2026-05-29","ld":1781020800000,"ldt":1781100000000,"list":["a","b"],"lng":9007199254740993,"map":{"z":1,"a":2},"money":12.3400,"name":"n","sd":1780000000000,"ts":1780000000000}
S02-null不写|{"active":true,"age":3,"alias":"AV","big":1E+10,"bin":"AQID","color":"RED","d":1780000000000,"flag":false,"fmt":"2026-05-29","ld":1781020800000,"ldt":1781100000000,"list":["a","b"],"lng":9007199254740993,"map":{"z":1,"a":2},"money":12.3400,"name":"n","sd":1780000000000,"ts":1780000000000}
S03-WriteMapNullValue|{"active":true,"age":3,"alias":"AV","big":1E+10,"bin":"AQID","boxLng":null,"color":"RED","d":1780000000000,"flag":false,"fmt":"2026-05-29","ld":1781020800000,"ldt":1781100000000,"list":["a","b"],"lng":9007199254740993,"map":{"z":1,"a":2},"money":12.3400,"name":"n","nul":null,"sd":1780000000000,"ts":1780000000000}
S04-PrettyOff-Date|1780000000000
S05-Timestamp|1780000000000
S06-sqlDate|1780000000000
S07-BigDecimal尾零|12.3400
S08-BigDecimal科学计数|1E+10
S09-double|1.0
S10-float|1.1
S11-long大数|9007199254740993
S12-枚举|"BLUE"
S13-byte数组|"AQID"
S14-null对象|null
S15-空Map|{}
S16-LocalDate|1781020800000
S17-LocalDateTime|1781100000000
S18-字符串转义|"a\"b\\c\n中文/<>&"
S19-Map非String键|{1:"v"}
S20-BrowserCompatible|"\u4E2D\u6587"
S21-WriteDateUseDateFormat|"2026-05-29 04:26:40"
S22-UseISO8601|"2026-05-29T04:26:40+08:00"
S23-DisableCircularRef|EX:com.alibaba.fastjson.JSONException
S24-循环引用默认|{"id":"c1","peers":[{"$ref":"$"}],"self":{"$ref":".."}}
S25-同一实例两次引用|{"a":{"active":true,"age":3,"alias":"AV","big":1E+10,"bin":"AQID","color":"RED","d":1780000000000,"flag":false,"fmt":"2026-05-29","ld":1781020800000,"ldt":1781100000000,"list":["a","b"],"lng":9007199254740993,"map":{"z":1,"a":2},"money":12.3400,"name":"n","sd":1780000000000,"ts":1780000000000},"b":{"$ref":"$.a"}}
S26-SortField|{"active":true,"age":3,"alias":"AV","big":1E+10,"bin":"AQID","color":"RED","d":1780000000000,"flag":false,"fmt":"2026-05-29","ld":1781020800000,"ldt":1781100000000,"list":["a","b"],"lng":9007199254740993,"map":{"z":1,"a":2},"money":12.3400,"name":"n","sd":1780000000000,"ts":1780000000000}
S27-QuoteFieldNames关|{"z":1,"a":2}
S28-WriteNullStringAsEmpty|{"active":true,"age":3,"alias":"AV","big":1E+10,"bin":"AQID","color":"RED","d":1780000000000,"flag":false,"fmt":"2026-05-29","ld":1781020800000,"ldt":1781100000000,"list":["a","b"],"lng":9007199254740993,"map":{"z":1,"a":2},"money":12.3400,"name":"n","nul":"","sd":1780000000000,"ts":1780000000000}
T01-toJSON顶层|com.alibaba.fastjson.JSONObject
T02-toJSON-Map值Bean|com.alibaba.fastjson.JSONObject
T03-toJSON-List元素Bean|com.alibaba.fastjson.JSONObject
T04-toJSON-数组Bean|com.alibaba.fastjson.JSONArray
T05-toJSON-Date字段|java.util.Date
T06-toJavaObject-TR-Map|java.lang.String
T07-toJavaObject-MapClass|com.alibaba.fastjson.JSONObject
T08-JSONObject强转JSON|true
T09-JSONArray强转JSON|true
T10-JSONObject是Map|true
T11-toJSONString(JSONObject)|{"d":"2026-05-29 04:26:40"}
T12-JSONObject.put后get类型|java.util.Date
T13-JSONValidator|true/Object
T14-isValidArray|true
T15-toJSONBytes长度|289
